timestamp,open,high,low,close,volume,datetime
1748360940000,110137.28,110137.28,110040.38,110066.68,41.59661,2025-05-27 15:49:00
1748361000000,110066.68,110086.96,110022.0,110075.05,15.92026,2025-05-27 15:50:00
1748361060000,110075.05,110133.39,110075.05,110102.22,14.93933,2025-05-27 15:51:00
1748361120000,110102.22,110122.34,110046.73,110122.33,10.50327,2025-05-27 15:52:00
1748361180000,110122.34,110212.6,110122.33,110173.91,17.87627,2025-05-27 15:53:00
1748361240000,110173.91,110198.71,110127.08,110181.59,41.39233,2025-05-27 15:54:00
1748361300000,110181.58,110209.68,110173.91,110173.91,10.0452,2025-05-27 15:55:00
1748361360000,110173.92,110189.73,110136.36,110136.37,10.30162,2025-05-27 15:56:00
1748361420000,110136.36,110178.81,110087.22,110105.48,15.02939,2025-05-27 15:57:00
1748361480000,110105.49,110105.49,110020.0,110089.69,21.33074,2025-05-27 15:58:00
1748361540000,110089.69,110190.48,110089.69,110140.11,15.02638,2025-05-27 15:59:00
1748361600000,110140.11,110186.47,110114.46,110150.96,44.09699,2025-05-27 16:00:00
1748361660000,110150.95,110160.88,110032.55,110111.15,20.65389,2025-05-27 16:01:00
1748361720000,110111.15,110173.92,110111.14,110132.35,7.72205,2025-05-27 16:02:00
1748361780000,110132.36,110277.22,110132.35,110277.21,53.4068,2025-05-27 16:03:00
1748361840000,110277.21,110353.0,110277.21,110329.09,63.39458,2025-05-27 16:04:00
1748361900000,110329.09,110340.63,110191.95,110191.95,60.54892,2025-05-27 16:05:00
1748361960000,110191.94,110233.23,110126.61,110126.61,11.90377,2025-05-27 16:06:00
1748362020000,110126.62,110137.29,110070.52,110130.44,13.0502,2025-05-27 16:07:00
1748362080000,110130.43,110130.44,110029.12,110029.13,14.66604,2025-05-27 16:08:00
1748362140000,110029.13,110129.79,110029.12,110129.78,9.15883,2025-05-27 16:09:00
1748362200000,110129.79,110139.7,110051.07,110051.07,17.19179,2025-05-27 16:10:00
1748362260000,110051.06,110053.18,109956.03,109987.47,18.85738,2025-05-27 16:11:00
1748362320000,109987.48,110038.15,109979.83,110025.83,4.22521,2025-05-27 16:12:00
1748362380000,110025.83,110112.76,110025.83,110086.95,12.312,2025-05-27 16:13:00
1748362440000,110086.96,110166.51,110068.28,110146.46,11.24375,2025-05-27 16:14:00
1748362500000,110146.45,110255.0,110146.45,110244.95,24.38916,2025-05-27 16:15:00
1748362560000,110244.95,110258.75,110218.46,110258.75,8.41605,2025-05-27 16:16:00
1748362620000,110258.75,110272.0,110254.55,110254.57,7.33506,2025-05-27 16:17:00
1748362680000,110254.56,110254.56,110150.15,110216.76,14.21885,2025-05-27 16:18:00
1748362740000,110216.76,110249.76,110190.47,110226.41,6.62002,2025-05-27 16:19:00
1748362800000,110226.41,110247.46,110210.81,110210.81,6.87328,2025-05-27 16:20:00
1748362860000,110210.8,110260.0,110207.2,110220.14,5.65867,2025-05-27 16:21:00
1748362920000,110220.14,110268.18,110220.14,110255.1,4.2977,2025-05-27 16:22:00
1748362980000,110255.11,110260.86,110217.39,110260.85,13.946,2025-05-27 16:23:00
1748363040000,110260.85,110277.6,110245.15,110267.71,9.19999,2025-05-27 16:24:00
1748363100000,110267.71,110267.72,110162.7,110213.28,14.89118,2025-05-27 16:25:00
1748363160000,110213.28,110217.32,110178.3,110180.11,5.65067,2025-05-27 16:26:00
1748363220000,110180.12,110181.38,110118.97,110174.13,8.84699,2025-05-27 16:27:00
1748363280000,110174.12,110181.37,110152.0,110161.91,6.44788,2025-05-27 16:28:00
1748363340000,110161.91,110168.37,110094.4,110094.41,6.64904,2025-05-27 16:29:00
1748363400000,110094.4,110215.91,110082.47,110215.9,20.04024,2025-05-27 16:30:00
1748363460000,110215.9,110230.34,110174.63,110218.83,9.52528,2025-05-27 16:31:00
1748363520000,110218.82,110254.57,110218.82,110236.89,4.18231,2025-05-27 16:32:00
1748363580000,110236.89,110283.92,110236.89,110247.22,5.71076,2025-05-27 16:33:00
